bass,soprano
5.70044,5.35755
5.55459,5.35755
5.42626,5.08746
5.35755,5.08746
5.85798,5.58496
5.2854,4.64386
6.20945,6
6.06609,5.55459
5.85798,5.20945
5.42626,5.24793
6.49185,5.75489
5.16993,4.90689
6,5.45943
5.70044,5.35755
5.83289,5.2854
6.06609,5.55459
5.55459,5.35755
5.20945,5.08746
5.64386,4.39232
5.49185,5.24793
5.20945,5.08746
5.61471,5.42626
5.42626,4.90689
5.90689,5.39232
5.55459,5.12928
5.32193,4.75489
5.35755,5
5.12928,4.70044
5.49185,5
5.52356,5
5.45943,5.08746
5.67243,5.04439
5.45943,5
6,5.12928
5.24793,4.80735
5.85798,5.24793
5.61471,5.08746
5.45943,4.90689
5.70044,4.90689
4.90689,4.85798
5.85798,5.20945
4.85798,4.64386
5.85798,5.80735
5.32193,4.70044
5.80735,5.16993
5.58496,4.9542
5.52356,5.12928
5.70044,4.75489
5.70044,5.24793
5.64386,5.12928
5.55459,5.04439
5.93074,5.32193
5.45943,5.16993
5.12928,5.08746
5.55459,4.45943
6.04439,5.55459
5,4.90689
6,5.42626
5.42626,5.16993
5.42626,5.2854
5.9542,5.16993
5.04439,5.04439
5.61471,5
5.61471,5
5.32193,5.16993
5.70044,5.42626
5.49185,5
5.16993,4.80735
6.14975,5.90689
5.90689,5.70044
5.80735,5.55459
5.12928,4.90689
5.55459,5.12928
5.49185,5.16993
5.67243,5.08746
5.61471,5.16993
5.75489,5.20945
5.42626,5.08746
5.55459,5.52356
5.55459,5.12928
5.80735,5.12928
5.83289,5.32193
5.58496,5.32193
5.93074,5.61471
5.64386,5.39232
5.67243,5.35755
5.52356,5.42626
5.42626,4.90689
5.55459,5.42626
5.16993,5.42626
6.39232,6.04439
5.58496,5.08746
5.20945,5.2854
5.32193,4.80735
5.32193,4.85798
5.52356,5.42626
5.9542,5.52356
5.49185,5.12928
5.52356,5
5.55459,5.35755
5.52356,4.70044
5.70044,5.61471
5.49185,4.85798
5.32193,5.04439
5.52356,5.12928
5.20945,5.32193
6.16993,5.52356
5.45943,5.24793
6,5.93074
5.45943,5.24793
5.49185,5.39232
5.20945,4.90689
5.70044,5.24793
5.55459,5.04439
5.61471,5.04439
6.55459,6
5.55459,4.80735
5.49185,5.08746
6.04439,5.52356
5.58496,5.16993
5.70044,5.39232
5.55459,5.61471
5.61471,5
5.75489,4.9542
5.32193,4.80735
5.58496,5.32193
5.52356,4.64386
5.61471,5.12928
5.72792,5.2854
4.80735,4.52356
5.52356,4.64386
7.06609,6.12928
6.78136,5.9542
5.93074,5.20945
5.64386,5.2854
5.2854,4.58496
5.88264,5.32193
5.61471,5.20945
5.49185,4.90689
5.67243,4.90689
5.04439,4.75489
6.02237,5.08746
6.16993,5.97728
5.80735,5.08746
5.67243,4.85798
5.52356,5.12928
5.45943,5.12928
5.35755,4.80735
5.04439,5.12928
5.32193,4.45943
5.2854,5.12928
5.24793,5.20945
4.52356,4.24793
5.90689,5.42626
5.20945,4.90689
5.32193,4.85798
5.78136,5.42626
5,4.58496
5.35755,4.75489
5.78136,5.35755
5.83289,5.08746
5.78136,4.80735
5.67243,5.04439
5.64386,5.16993
5.75489,5.08746
5.78136,5.12928
5.35755,4.75489
5.78136,5.08746
5.32193,4.75489
5.67243,4.85798
5.70044,5.24793
5.83289,5.45943
5.45943,4.85798
5.2854,4.90689
5.75489,5.32193
5.24793,4.75489
5.45943,5.16993
5.97728,5.45943
5.24793,4.64386
5.64386,4.85798
5.70044,5.08746
5.42626,4.90689
5.49185,5.2854
5.35755,5
5.58496,4.64386
4.85798,4.64386
5.24793,5.20945
5.39232,4.58496
5.72792,4.90689
5.16993,4.9542
5.08746,5.08746
4.80735,5.24793
5.2854,5.32193
5.52356,5.2854
5.80735,5.04439
6.82018,5.93074
6.24793,5.39232
5.88264,5.42626
5.88264,5.04439
6.35755,5.42626
6.49185,5.85798
6.02237,5.45943
5.16993,4.9542
7.07682,6.42626
6.02237,5.72792
5.70044,5.24793
5.88264,5.42626
5.64386,5.85798
5.78136,5.24793
6,5.08746
5.80735,5.24793
5.35755,5.42626
6.30378,5.78136
6.52356,6.02237
5.93074,5.2854
5.24793,5
5.9542,5.04439
5.61471,5.08746
6.52356,6.08746
5.64386,4.75489
5.61471,5.35755
5.85798,5.20945
4.90689,4.70044
5.55459,4.90689
5.64386,4.80735
6.14975,5.32193
4.9542,4
5.93074,5.35755
5.52356,4.90689
5.52356,5.04439
5.42626,5.32193
5.39232,4.64386
6.08746,6.14975
5.80735,5.45943
5.16993,5
5.83289,5.39232
5.42626,5.04439
5.67243,4.9542
5.32193,4.52356
6.53916,5.9542
5.78136,4.75489
5.67243,5.2854
5.97728,5.75489
5.08746,4.52356
5.88264,5.32193
5.32193,4.9542
5.42626,5.24793
5.32193,4.90689
5.45943,5.12928
5.55459,5.85798
6.40939,6.02237
5.58496,5.24793
5.35755,5.20945
5.72792,5.45943
5.55459,4.9542
5.20945,5.2854
5.85798,5.24793
6.2854,6.04439
5.24793,4.75489
5.49185,5.2854
5.49185,5.08746
5.39232,5.39232
5.61471,5.45943
5.88264,5.20945
5.52356,5.12928
5.58496,5
5.9542,5.58496
5.67243,5.2854
5.58496,5.24793
5.80735,5.85798
5.39232,5.24793
5.64386,5.24793
5.72792,5.12928
5.20945,5
5.45943,4.9542
6.10852,5.55459
5.55459,4.90689
5.45943,4.90689
6.06609,5.58496
5.55459,4.90689
5.35755,5.20945
5.85798,5.16993
5.80735,4.85798
5.52356,5
5.45943,5.20945
5.2854,4.64386
5.39232,5.04439
5.49185,5.20945
5.55459,5.2854
5.67243,5.52356
5.2854,5.08746
5.12928,4.85798
5.52356,5.04439
5.12928,5
6.14975,6.06609
5.64386,5.20945
5.75489,5.58496
5.67243,5.52356
5.42626,4.75489
5.61471,4.90689
5.88264,5.42626
5.24793,4.70044
5.52356,4.80735
5.52356,5.2854
6.35755,5.42626
6.24793,5.39232
5.20945,4.90689
5.85798,5.58496
5.08746,4.85798
5.72792,5.04439
5.88264,5.58496
5.45943,4.90689
5.64386,5
5.80735,5.39232
5.67243,5.61471
5.52356,5.20945
5.80735,5.08746
5.72792,5.45943
4.9542,4.75489
5.49185,4.58496
5.83289,5.24793
5.78136,5.16993
5.61471,5.12928
5.49185,5.2854
5.32193,4.85798
5.70044,5.04439
5.52356,4.64386
5.61471,5.32193
5.49185,5
5.70044,4.90689
5.80735,5.39232
5.80735,5.58496
5.12928,5.04439
5.32193,5.32193
5.45943,4.90689
5.88264,5.39232
5.20945,4.9542
5.45943,4.90689
5.85798,5.2854
5.61471,5.42626
5.49185,5.12928
6.10852,5.78136
5.12928,4.9542
5.64386,5.32193
5.80735,5.35755
5.35755,5.2854
5.64386,5.20945
5.61471,5.16993
5.32193,4.90689
6.06609,5.2854
6.16993,5.58496
5.45943,4.85798
5.70044,5.24793
5.42626,4.85798
5.61471,5.20945
5.55459,5.12928
5.55459,5.2854
6.16993,5.64386
5.85798,4.52356
5.75489,5.20945
5.49185,4.85798
5.45943,5.04439
5.85798,5.49185
5.49185,4.64386
5.42626,4.90689
5.55459,5.20945
5.78136,5.55459
5.58496,5.16993
5.52356,5.12928
5.97728,5.35755
