Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	Secondary modes	Modulation measures	One_Mode	Mode notes	Additional notes	Modulation Criteria
1	Dobriden	Minor	listening	Gurevich	recording	Voice	Odessa	1930	Bobruisk			D	Up P5		All minor	yes			
2	Dobriden	Freygish	listening	Bergelson, D.	transcription (Beregovski)	-	Kyiv	1937	Uman'			-	-		All freygish	yes			
3	Dobriden	Freygish	listening	Bakagan, G.	transcription (Barkagan)	Clarinet	Kalinindorf	1936	-			-			All freygish	yes			
4	Dobriden	Freygish	listening	Sakhnovsky, B.	manuscript notation	Violin	-	-	-			E	Down m3	C major (IV)	17–24	no			
5	Dobriden	Minor	listening	Barkagan, G	transcription (Barkagan)	Clarinet	Kalinindorf	-	-			E	Down m3		All minor	yes			
6	Dobranotsh	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Down P5	Bb major (III)	18–26	no			(1) we identify mode by section, when possible, (2) we document shifts at cadences when there is a return to a primary mode, but (3) when two modes in a section share the same pitch collection and cadence in the primary mode  (e.g., Bb major to G minor), we use the cadence as the guide, and (4) we include modal shifts within a section when they are between secondary modes with no single mode taking obvious precedent.
7	Dobranotsh	Minor	listening	Sakhonsky, B.	manuscript notation	Violin	Kalinindorf	-	-			G	-	Bb major (III)	17-32	no	New section identified starting in m. 33 based on the cadence in m. 32 and new melodic material from m. 33 to the end. The final section includes elements that suggest Bb major and G minor; it is identified as G minor based on the cadence (criteria 1 and 3).		
8	Mazltov (Dobranotsh)	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-			G	-	Bb major (III)	18–30	no			
10	Dobranotsh (mazltov)	Raised fourth	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-		All raised fourth	yes			
11	Dobranotsh	Minor	listening	Anonymous	transcription	-	-	-	-	-	-	A	Up M2		All minor	yes	The first section includes digressions to Bb major (III) (mm. 9–16), C minor (iv) (mm. 17–20), Bb major again (mm. 21–24), and Bb raised fourth (iii) or C freygish (IV) (mm. 25–28). The section as a whole is identified as G minor (criterion 1).		
12	Dobridyen'	Freygish	listening	Barkagan, G	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All freygish	yes	The first section emphasizes C minor a fair bit; there are cadences on C in mm. 4 and 12. The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
15	Freylekhs (tsu der khupe)	Freygish	listening	Slobodskoi, M.	recording	Clarinet	Brusilov, Kiev	1935		Kiev	Brusilov	C	Up P4	C major (IV)	37–54	no			
16	Freylekhs (fun der khupe)	Minor	listening	Barkagan, G	transcription	Clarinet	Kalinindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-		All minor	yes	Measures 17–24 could be heard in Bb major (III). We analyzed them with the rest of the section in G minor (criteria 1 and 3). 		
19	Khtsos	Minor	listening	Anonymous	transcription	Violin	-	-	-	-	-	F#	Down m2		All minor	yes		This is only the latter section of the piece with a 2/4 time signature. The opening is in "Tempo rubato" with changing time signatures and frequent fermatas.	
20	Taksim	Raised fourth	listening	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G major	opening section ; 41–46	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
21	Doyne	Freygish	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	C raised fourth (iv)	16–27	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
22	Doyne	Raised fourth	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G major	opening section	no		This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked "Rubato" and does not have a time signature.	
23	Skotshne	Freygish	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	-	-		All freygish	yes			
24	Skotshne	Freygish	listening	Bergelson, D.	recording	Voice	Kiev	1931	Uman'	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
25	Skotshne	Freygish	listening	Roitenberg, D.	transcription	Violin	Moscow	1926	Belarus	-	-	-	-	C minor (iv); G minor	6–13; 14–25	no	Section B (mm. 6–13) identified as C minor (iv) based on measured melodic descent from G (m. 6) to C (m. 12). There is a brief shift to D freygish (V) at the cadence in mm. 12–13, but we kept these bars with the rest of the section (criterion 1). Section C (mm. 14–25) identified as G minor based on the cadence (criteria 1 and 3). 		
26	Skotshne	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C minor (iv)	28–42	no	Measures 38–40 briefly imply G freygish. The section begins with a C minor fanfare, and ends with a C minor cadence––we thus identified the section as a whole as C minor (iv) (criterion 1). 		
27	Skotshne	Freygish	listening	Shteingart, Ia.	recording	Clarinet	Podolia, Bogopol	1913	-	Podolia	Bogopol	-	-	C minor (iv); Bb major (III); C minor (iv); Bb major (III) 	18–21; 22–25; 26–29; 30–33	no	Measures 18–21 and 26–29 were identified as C minor (iv) and Bb major (III) respectively (criterion 4). See the similar situation in no. 30. 		
28	Freylekhs	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Up P4	C minor (iv); Bb major (III); C major (IV); C minor (iv)	10–13; 14–17; 26–37; 38–42	no			
29	Skotshne	Freygish	listening	Anonymous	transcription	-	-	-	-	-	-	G	-		All freygish	yes			
30	Freylekhs	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C minor (iv); Bb major (III)	10–13; 14–18	no	Measures 10–13 and 14–18 were identifed as C minor (iv) and Bb major (III) respectively (criterion 4). See the similar situation in no. 27.		
31	Freylekhs	Freygish	listening	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	C	Up P4	C minor (iv); F major (VII)	10–17; 18–23	no	Section B (mm. 10–17) includes elements of both G freygish and C minor (iv). The section is identified as C minor (iv) because of the emphasis on C at the beginning and the cadence on C (criterion 1).		
32	Skotshne	Freygish	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3	C major (IV); D freygish (V)	18–21; 22–26	no	Measures 18–21 and 22–26 were identifed as C major (IV) and D freygish (V) respectively (criterion 4). 		
33	Lekhaim	Freygish	listening	Magaziner, Ia. S.	transcription	Violin	Kiev	1937	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
34	Skotshne	Freygish	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	-	-	C minor (iv)	12–19	no			
35	Freylekhs	Freygish	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3		All freygish	yes	Measures 18–25 emphasize C minor (iv). The section as a whole is identified as G freygish (criteria 1 and 3).		
36	Freylekhs	Freygish	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
37	Nign	Freygish	listening	Komendant, M. G. 	transcription	-	Kremenets	1885	-	-	-	-	-	C minor (iv); Eb major (VI); C minor (iv)	9–12; 13–24; 25–36	no			
38	Nign	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes			
39	Skotshne	Minor	listening	Magaziner, Ia. S.	transcription	Violin	Kiev	1937	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3		All minor	yes	Section B (mm. 9–16) emphasizes C minor (iv) and then cadences abruptly on Bb. We did not feel comfortable with Bb major (III) as the modal designation for the entire section; nor did we feel comfortable wiht C minor (iv) because it is undermined by the cadence. In this instance (and only in this instance), we an interpreted an individual section within the frame of the tune as a whole. Thus, we interpreted both C minor (iv) and Bb (III) as digressions within G minor. Sections A and C also include local moments emphasizing C minor and Bb major.		
40	Skotshne	Minor	listening	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	A	Up M2	Bb major (III)	18–28	no			
41	Freylekhs	Minor	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-		All minor	yes			
42	Skotshne	Minor	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2	Bb major (III)	29–36	no			
43	Skotshne	Minor	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5	Bb major (III)	13–18	no			
44	Skotshne	Minor	listening	Ziserman, V.	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	G	-		All minor	yes			
45	Skotshne	Minor	listening	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	G freygish	10–17	no	Section B (mm. 10–21) is in G freygish, but the cadence at the end of the section (mm. 20–21) is in G minor and it is identified as such (criterion 2). 		
46	Skotshne	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2		All minor	yes			
47	Skotshne	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5	G major; G raised fourth	13–20; 20–27	no	Section A could be identified as G minor or G raised fourth. It is identified here in G minor for two reasons: (1) Measures 1–4 are more typical of G minor with an emphasis on G, repeated Bb–A–G descent, and no C#s. (2) Measures 5–8 shift clearly to G raised fourth with strong empahsis on C#; mm. 9–11 then shift back to material from the opening. The section as a whole is thus identified as G minor with G raised fourth as a digression (criterion 1).		
48	Skotshne	Minor	listening	Anonymous	transcription	Violin	Kiev	1929	-	Unknown	-	-	-	Bb major (III)	18-25	no			
49	Freylekhs	Minor	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-		All minor	yes	Section C could be identified as G minor based on the first five bars (mm. 21–25) or Bb major based on the cadence (mm. 26–28). The section is identified as G minor since the majority of the material implies G minor. Criterion 3 does not apply here since the cadence is not in the primary mode.		
50	Skotshne	Minor	listening	Gershfeld, G.	transcription	-	Tiraspol	1937	-	Kiev	Berdichev	-	-	Bb major (III)	9–17	no			
51	Skotshne	Minor	listening		transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	-	-	Bb major (III)	22–31	no			
52	Skotshne	Minor	listening		transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	-	-	Bb major (III)	13–18	no			
53	Skotshne	Minor	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-	Bb major (III)	9–16	no			
54	Skotshne	Raised fourth	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	G major	18–26; 55–72	no			
55	Skotshne	Raised fourth	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	G freygish; C major (IV); G freygish	15–23; 24–31; 32–39	no			
56	Skotshne	Raised fourth	listening	Altman, L. 	transcription	Viola	Tiraspol	1936	-	Kiev	Berdichev	-	-	G minor	1–8	no			
57	Skotshne	Raised fourth	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-	G major	10–25; 38–53; 74–89	no			
58	Freylekhs (fun der khupe)	Raised fourth	listening	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-			yes	Beregovski indicates a G minor key signature for section B (mm. 17–32), but it is identified here as G raised fourth. The section focuses on the upper G for a whole, but this is a common move in the raised fourth move. Section A and B both include brief moments of C minor (iv) before the cadentce (mm. 12–13 and 31–32). These are treated as local moves within the mode. Beregovski also notes that C natural occasionally alternates with C# in the raised fourth mode (1982, 551). Compare with no. 184.		
59	Skotshne	Raised fourth	listening	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5		All raised fourth	yes			
60	Skotshne	Raised fourth	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2		All raised fourth	yes			
61	Gas-nign	Freygish	listening	Barkagan, G.	recording	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	C minor (iv)	1–8	no			
62	Gas-nign	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	F major (VII)	20–27	no			
63	Gas-nign	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	F major (VII)	17–22	no			
64	Gas-nign	Freygish	listening	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	G	-		All freygish	yes	Section B (mm. 17–32) includes passages that imply C major (IV) (mm. 17–20) and C minor (iv) (mm. 21–24). The section as a whole is identified as G freygish (criterion 1).		
65	Gas-nign	Freygish	listening	Beliavsky, F.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-	F major (VII)	17–22; 25–30	no			
66	Gas-nign	Freygish	listening	Diamant, M.	recording	-	Kiev	1932	Warsaw	-	-	A	Up M2		All freygish	yes			
67	Gas-nign	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2		All freygish	yes			
68	Gas-nign	Freygish	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5		All freygish	yes			
69	Gas-nign	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C raised fourth (iv)	18–25	no	Passages throughout the tune focus on the upper pentachord <D, Eb, F#, G, A>. Section C (mm. 18–25), however, focuses more on this upper range and extends at a key moment down to C. We have therefore identified it as C raised fourth. Horowitz (1993, 20–23) identifies the mode of this section as C raised fourth, while also noting that it could be analyzed as D freygish. 		
70	Gas-nign	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	C major (IV)	33–48	no			
71	Gas-nign	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Up P4	Bb major (III)	1–8; 17–24	no			
72	Gas-nign	Minor	listening	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5	Bb major (III)	9–16	no			
73	Gas-nign	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	B	Up M3	Bb major (III)	20–27	no			
74	Gas-nign	Minor	listening	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	A	Up M2		All minor	yes			
75	Gas-nign	Minor	listening	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All minor	yes			
76	Gas-nign	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes			
77	Gas-nign	Minor	listening	Melamed, R.	recording	Voice	Novo-Zlatopol, Dnepropetrovsk	1937	-	Old Jewish Agricultural Colonies	Novozlatopol	-	-	C minor (iv); Bb major (III)	1–4; 5–8	no	Section A (mm. 1–9) has four bars implying C minor (iv) and four implying Bb major (III). These are identified as such because they are both secondary modes and neither takes precedence (criterion 4).		
78	Gas-nign	Minor	listening	Karlyk, Ia.	recording	-	Dzhelal, Crimea	1937	Boguslav, Kiev	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	Bb major (III)	8–15	no			
79	A gute nakht	Freygish	listening	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5		All freygish	yes	Section B (mm. 11–18) includes passages in C raised fourth (iv) (mm. 11–12) and Bb major (III) (mm. 13–14). But the section as a whole settles on G freygish (criterion 1). 		
80	A gute nakht	Minor	listening	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5		All minor	yes			
81	Zay gezunt	Freygish	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-		All freygish	yes			
82	Zay gezunt	Freygish	listening	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-	C minor (iv)	9–16	no			
83	Zay gezunt	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes			
84	Zay gezunt	Minor	listening	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes			
85	Redl	Freygish	dance	Anonymous	transcription	-	Liubavichi	1913	-	Various Cities and Towns	-	-	-		All freygish	yes			
86	Freylekhs	Freygish	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2		All freygish	yes			
87	Freylekhs	Freygish	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	F major (VII)	10–14	no			
88	Freylekhs	Freygish	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	A	Up M2	Eb major; C raised fourth (iv)	14–17, 18–22	no	Measures 14–17 could be identified as C minor (iv), a typical move. Here we identify them as Eb major (VI) because there is no C. See the same analysis in Horowitz 1993, 39. Measures 18–22 are identifed as C raised fourth (iv). Both are secondary modes and neither takes precedence within the section (criterion 4). 		
89	Tants	Freygish	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All freygish	yes			
90	Freylekhs	Freygish	dance	Grudsky, L.	transcription	Violin	Kherson	1933	-	Old Jewish Agricultural Colonies	-	D	Up P5	C major (IV); D freygish (V)	17–20; 21–24	no			
91	Freylekhs	Freygish	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5		All freygish	yes			
92	Freylekhs	Freygish	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All freygish	yes			
93	Skotshne	Freygish	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2		All freygish	yes			
94	Freylekhs	Freygish	dance	Pivovarov, M.	recording	-	Bobrovyi, Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All freygish	yes			
95	Freylekhs	Freygish	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2	C minor (iv)	10–18	no			
96	Freylekhs	Freygish	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All freygish	yes			
97	Freylekhs	Freygish	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	C minor (iv)	10–17	no	Section B (mm. 10–17) emphasize F but then settle on C in both halves of the phrase. The section is thus identified as C minor (iv).		
98	Freylekhs	Freygish	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5		All freygish	yes			
99	Hopke	Freygish	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Up P4		All freygish	yes			
100	Freylekhs	Freygish	dance	Mesman, V.	transcription	-	-	-	-	Unknown	-	G	-		All freygish	yes			
101	Skotshne	Minor	dance	Anonymous	transcription	-	-	-	-	Kiev	Khabno, Korosten', and Radomysl'	-	-	G major	1–9	no			
102	Hopke	Freygish	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	F major (VII); C major (IV); D freygish (V)	10–15; 19–25; 26–28	no	Section C (mm. 19–28) is in C major (IV) with a cadence in D freygish (V). We tagged each mode separately because they are two secondary modes, neither of which takes precedence (criterion 4). C major has a longer span but D freygish receves prominence with the cadence. 		
103	Freylekhs	Freygish	dance	Svitelsky, F.	transcription	Violin	Kiev	1933	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	F major (VII)	5–10; 13–24	no			
104	Freylekhs	Freygish	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2	C minor (iv); Bb major (III)	11–12; 13–16	no	Section B (mm. 11–22) starts on C, implying C minor (iv) (mm. 11–12), finds its way to Bb major (III) (mm. 13–16), and then cadences in G freygish (mm. 17–23). Both secondary modes are included (criterion 4).		
105	Skotshne	Raised fourth	dance	Ziserman, V.	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	G	-		All raised fourth	yes			
106	Freylekhs	Raised fourth	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-		All raised fourth	yes			
107	Karahod	Raised fourth	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	C	Up P4		All raised fourth	yes			
108	Freylekhs	Raised fourth	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	B	Up M3		All raised fourth	yes			
109	Skotshne	Raised fourth	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	B	Up M3		All raised fourth	yes			
110	Freylekhs	Raised fourth	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	E	Up M6		All raised fourth	yes			
111	Freylekhs	Raised fourth	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-	Bb major (III)	19–28	no			
112	Freylekhs	Raised fourth	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-	G major	10–17	no			
113	Skotshne	Raised fourth	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	G	-	G major	25–48	no			
114	Freylekhs	Raised fourth	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-	G minor; G major; G minor	1–6; 40–51; 53–60	no			
115	Skotshne	Raised fourth	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	C	Up P4	G major	22–27	no			
116	Skotshne	Raised fourth	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-	G major	18–23	no			
117	Freylekhs	Raised fourth	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5	G major	9–13	no			
118	Freylekhs	Raised fourth	dance	Berezin, Ia.	transcription	Clarinet	Tiraspol	1937	-	Various Cities and Towns	-	C	Up P4		All raised fourth	yes	Measures 9–16 imply G major, but the melody then shifts back to G raised fourth. The section as a whole (mm. 9–24) is identified as G raised fourth (criterion 1).		
