Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	Secondary modes	Modulation measures	One_Mode	Mode notes	Additional notes	Modulation Criteria
119	Freylekhs	Raised fourth	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G major	14–22	no			
120	Freylekhs	Raised fourth	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All raised fourth	yes			
121	Freylekhs (Karahod)	Minor	dance	Rabinovich, I. S.	transcription	Piano	Kiev	1937	Pereiaslav, Poltava	Various Cities and Towns	-	-	-	Bb major (III)	1–6; 13–22	no			
122	Freylekhs	Minor	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	D	Up P5		All minor	yes			
123	Skotshne	Minor	dance	Ziserman, V.	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	D	Up P5		All minor	yes	Section C (mm. 18–37) include a lot of material in Bb major (III). The last foru bars, however, cadence clearly in G minor and so the section as a whole is identified as G minor (criterion 3). 		
124	Skotshne	Minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	A	Up M2	C minor (iv);  Bb major (III)	21–28; 29–36	no	Section B includes passages in C minor (iv) (mm. 21–28) and Bb major (III) (mm. 29–36). Both are secondary modes and are identified as such (criterion 4).		
125	Freylekhs	Minor	dance	Svitelsky, F.	transcription	Violin	Kiev	1933	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All minor	yes			
126	Freylekhs	Freygish	dance	Pulver, L. M.	recording	Violin	Kiev	1929	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Down P4	C raised fourth (iv)	1–9	no	Section B (mm. 10–17) begins in C minor (or C raised fourth) and cadences in G freygish. The section as a whole is identified as G freygish based on the cadence (criteria 1 and 3).		
127	Freylekh	Minor	dance	Mazover	recording	Voice	Kalnindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	Bb major (III); G raised fourth	10–18; 19–27	no	Section C (mm. 19–27) alternates C# and C natural. The C#s are quite prominent, however, so this is identified as G raised fourth. C natural occasionally alternates with C# in the raised fourth mode (see Beregovski 1982, 551). 		
128	Freylekhs	Minor	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-		All minor	yes			
129	Freylekhs	Minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	G raised fourth; Bb major (III)	9–16; 17–30	no	Section B (mm. 9–16) has C#, but it also has Eb which is not characteristic of G raised fourth. We still identified it as G raise fourth because the C#s are prominent. The manuscript in Beregovski 2013 has E naturals pencilled in.		
130	Freylekhs	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All minor	yes			
131	Freylekhs	Minor	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	G raised fourth	14–21	no			
132	Freylekhs	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	A	Up M2		All minor	yes	Section A includes a lot of material in Bb major (III). The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
133	Freylekhs	Minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	Bb major (III)	1–8	no			
134	Skotshne	Minor	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	C	Up P4		All minor	yes			
135	Freylekhs	Minor	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1935	-	Kiev	Belaia Tserkov	Bb	Up m3	G freygish	19–48	no			
136	Freylekhs	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All minor	yes			
137	Vol'ner (Freylekhs)	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All minor	yes			
138	Freylekhs	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All minor	yes			
139	Freylekhs	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-		All minor	yes			
140	Freylekhs	Minor	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5		All minor	yes			
141	Freylekhs	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes			
142	Freylekhs	Minor	dance	Anonymous	-	-	-	-	-	Unknown	-	A	Up M2		All minor	yes			
143	Freylekhs	Minor	dance	Berezin, Ia.	transcription	Clarinet	Tiraspol	1936	-	Various Cities and Towns	-	G	-		All minor	yes			
144	Freylekhs	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	Bb major (III)	10–17	no			
145	Freylekhs	Minor	dance	Anonymous	transcription	-	-	-	-	-	-	A	Up M2		All minor	yes			
146	Freylekhs	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	A	Up M2		All minor	yes			
147	Freylekhs	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All minor	yes	Section C (mm. 17–24) cadences on the pitch Bb, but the section emphasizes G minor with arpeggiations.		
148	Freylekhs	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	G	-		All minor	yes			
149	Skotshne	Minor	dance	Ziserman, V.	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	D	Up P5		All minor	yes			
150	Freylekhs	Major	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G raised fourth	9–27	no			
151	Freylekhs	Major	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G raised fourth	9–25	no			
152	Skotshne	Major	dance	Magaziner, Ia. S.	transcription	Violin	Kiev	1936	Zvenigorodka, Kiev	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G raised fourth	10–17	no			
153	Freylekhs	Major	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-	G raised fourth	5–8	no			
154	Freylekhs	Major	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	E	Down m3	G raised fourth; G freygish	10–25; 26–41	no			
155	Freylekhs	Major	dance	Berezin, Ia.	transcription	Clarinet	Tiraspol	1936	-	Various Cities and Towns	-	-	-	G raised fourth	11–24	no			
156	Freylekhs	Major	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1936	-	Kiev	Belaia Tserkov	-	-	G raised fourth	19–29	no			
157	Hopke	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All major	yes			
158	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	C major (IV)	17–24	no			
159	Freylekhs	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno				All major	yes			
160	Skotshne	Major	dance	Anonymous	transcription	-	-	-	-	Unknown	-	-	-		All major	yes			
161	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes			
162	Hopke	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	G	-		All major	yes			
163	Skotshne	Major	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1936	-	Kiev	Belaia Tserkov	-	-		All major	yes			
164	Skotshne	Major	dance	Shteingart, Ia.	recording	Clarinet	Bogopol, Podolia	1913	-	Podolia	Bogopol	-	-		All major	yes			
165	Freylekhs	Major	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	-	-	D	Up P5	D major	9–16	no			
166	Freylekhs	Major	dance	Marshak, A.	recording	Voice	Odessa	1930	-	Various Cities and Towns	Odessa	-	-	g minor	6–21	no			
167	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	C	Up P4	g minor	9–12	no			
168	Freylekhs	Major	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	C	Up P4		All major	yes			
169	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes			
170	Freylekhs	Major	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5		All major	yes			
171	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes			
172	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes			
173	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes			
174	Freylekhs	Major	dance	Rabinovich, M. I.	transcription	Violin	Kiev	1937	-	Kiev	Berdichev	-	-		All major	yes			
175	Freylekhs	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth	9–21	no			
176	Skotshne	Major	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1936	-	Kiev	Belaia Tserkov	A	Up M2		All major	yes			
177	Sher	Freygish	dance	Ozyriansky, M.	recording	Voice	Bobrovyi Kut, Kalinindorf, Nikolaev	1936	Kalinindorf	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All freygish	yes			
178	Sher	Freygish	dance	Liasko, M.	transcription	-	Fraidorf, Crimea	1937	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All freygish	yes			
179	Sher	Freygish	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	G	-		All freygish	yes			
180	Sher	Freygish	dance	Mesman, V.	transcription	-	-	1912	-	Unknown	-	C	Up P4	C major (IV); D: freygish	17–28; 29–32	no			
181	Sher	Freygish	dance	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	F major (VII)	41–48	no			
182	Sher	Freygish	dance	Ozyriansky, M.	recording	Voice	Bobrovyi Kut, Kalinindorf, Nikolaev	1936	Kalinindorf	Old Jewish Agricultural Colonies	Kalinindorf	-	-	C minor (iv)	9–16	no			
183	Sher	Freygish	dance	Dobrushin, I.	transcription	-	Kiev	1937	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	C minor (iv)	9–16	no			
184	Sher	Raised fourth	dance	Cherniavsky, B.	recording	Clarinet	Belaia Tserkov	1936	-	Kiev	Belaia Tserkov	Bb	Up m3			yes	Beregovski provides a G minor key signature for section B (mm. 11–18), but we identify the section as G raised fourth (no modulation). Section B begins with melodic moction from Eb to C, implying C minor (iv). This is a typical move within G raised fourth. Compare with no. 58 and see Beregovsk 1982, 551. 		
185	Sher	Raised fourth	dance	Laderman, I.	recording	Voice	Fastov	1929	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G major	18–33	no			
186	Sher	Raised fourth	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	Eb	Down M3		All raised fourth	yes	This Sher mixes elements of G raised fourth (C# and E-natural) and G minor (C natural and Eb). The tune as a whole, however implies G raised fourth. C natural occasionally alternates with C# in the raised fourth mode (see Beregovski 1982, 551). Beregovski's key signature implies G raised fourth. 		
187	Sher	Minor	dance	Avrutin, A.	recording	Voice	Bobrovyi Kut, Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	-	-	-		All minor	yes			
188	Sher	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth	9–29	no			
189	Sher	Minor	dance	Dulitsky, B.	recording	Clarinet	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All minor	yes	Section A includes a lot of material in Bb major (III). The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
190	Sher	Minor	dance	Bergelson, D.	recording	Voice	Kiev	1931	Uman'	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	G raised fourth	15–31	no			
191	Sher	Minor	dance	Azriel, G.	recording	Voice	Naidarovka, Novo-Zlatopolsk, Dnepropetrovsk	1936	-	Old Jewish Agricultural Colonies	-	-	-	Bb major (III)	10–18	no			
192	Sher	Minor	dance	Cherniavsky, I.	recording	Voice	Kiev	1935	-	Kiev	Belaia Tserkov	-	-		All minor	yes			
193	Sher	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5		All minor	yes			
194	Sher	Minor	dance	Kabatskaia, G.	recording	Voice	Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All minor	yes			
195	Sher	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All minor	yes			
196	Sher	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All minor	yes			
197	Sher	Minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	A	Up M2		All minor	yes			
198	Sher	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5		All minor	yes			
199	Sher	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2	Bb major (III)	10–26	no			
200	Sher	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2	Bb major (III)	6–14	no			
201	Sher	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All minor	yes	Section B (mm. 10–17) includes a lot of material in Bb major (III). The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
202	Sher	Minor	dance	Altman, L. 	transcription	Viola	Tiraspol	1936	-	Kiev	Berdichev	D	Up P5		All minor	yes			
203	Sher	Major	dance	Triplik, I.	recording	Flute	Slavuta, Khmelnitsky	1929	-	-	-	-	-	G raised fourth	41–55	no			
204	Sher	Major	dance	Krasnyshevsky, A.	recording	Voice	Bobrovyi Kut, Kalinindorf, Nikolaev	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes			
205	Sher	Major	dance	Bendas, D.	transcription	-	Kiev	1938	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All major	yes			
206	Plyeskun	Minor	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	D	Up P5		All minor	yes			
207	Plyeskun	Raised fourth	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	G minor	6–11	no			
208	Plyeskun	Freygish	dance	Mesman, V.	transcription	-	-	1912	-	Unknown	-	D	Up P5	C minor (iv); Bb major (III)	10–15; 16–19	no	Section B includes passages in C minor (iv) (mm. 10–15) and Bb major (III) (mm. 16–19). Both are secondary modes and are identified as such (criterion 4).		
209	Plyeskun	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All major	yes			
210	Plyeskun	Major	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	D	Up P5		All major	yes			
211	Beygele	Freygish	dance	Mesman, V.	transcription	-	-	1912	-	-	-	G	-		All freygish	yes			
212	Beygele	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2		All minor	yes			
213	Bolgarish	Freygish	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	-	-	C major (IV)	33–48	no			
214	Bolgarish	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5		All minor	yes	Section A (mm. 1–8) hovers between G minor and Bb major (III). A Bb major cadence is plausible at the end of the section. The section as a whole is still designated as G minor based on the prominence of G at the phrase beginings and end of the first phrase (m. 4) (criterion 1). This section does not fit other criteria (2, 3, or 4) for designating modulations wthin sections. Compare with no. 230. 		
215	Bolgarish	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	-	-	Bb major (III)	17–24	no			
216	Bulgar	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth	9–19	no			
217	Bulgar	Major	dance	Anonymous	transcription	-	-	-	-	Unknown	-	-	-		All major	yes			
218	Khosid	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	A	Up M2	Bb major (III)	9–16	no	Section B (mm. 9–16) hovers between C minor (iv) and Bb major (III). C minor is not clearly established, however, so Bb (III) was designated as the mode for the section.		
219	Khosid	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M3		All minor	yes			
220	Khosidl	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M4	Bb major (III)	1–5; 11–15	no	The first section (mm. 1–5) mixes Bb major (III) and Bb raised fourth (iii). It is designated as Bb major because the raised fourth elements are brief, at the cadence. 		
221	Khosid	Minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5		All minor	yes			
222	Khosid	Minor	dance	Knaifel	trasncription	Bass	Vinnitsa	1937	-	Vinnitsa	-	A	Up M2		All minor	yes			
223	Khosid	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes			
224	Khosid	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All minor	yes	Section B (mm. 11–26) includes a lot of material in Bb major (III). The section as a whole is still identified as G minor based on the cadence (criteria 1 and 3). 		
225	Shtok	Minor	dance	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All minor	yes			
226	Shtok	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All major	yes			
227	Ange	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	A	Up M2	Bb major (III); G freygish	5–17; 18–20	no	Modulation at the final cadence (mm. 18–20) marked as such. This does not strictly fit criterion 2 (documenting shifts at cadences when there is a return to a primary mode) because the primary mode is not freygish. It is similar, however, to many other instances that shift to freygish at the cadence, and so it is included with them. 		
228	Ange	Major	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	-	-	C major (IV)	13–20	no			
229	Ot azoy	Minor	dance	Gershfeld, G.	transcription	Violin	Tiraspol	1937	-	Kiev	Berdichev	D	Up P5	G freygish	9–16	no			
230	Lomir zikh iberbetn	Freygish	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All freygish	yes	Section A (mm. 1–8) cadences in C. It begins clearly on G freygish, however, and does not fit other criteria (2, 3, or 4) for designating modulations wthin sections. Compare with no. 214. 		
231	Broyges-tants	Freygish	dance	Mesman, V.	transcription	-	-	1912	-	Unknown	-	-	-		All freygish	yes			
232	Alter yidisher tants	Minor	dance	Mesman, V.	transcription	-	-	1912	-	Unknown	-	-	-		All minor	yes			
233	Shuster	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes	Section A begins with C minor (iv) material and cadences in G minor. Section B begins with C minor (iv) material (mm. 9–11), continues with Bb major (III) material (mm. 12–14) and cadences in G minor. G minor designated for both sections (criteria 1 and 3). 		
234	Shuster	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All minor	yes			
235	Kozatshke	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All major	yes			
236	Kozatshke	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-	E minor	6–10	no			
237	Kozatshke	Major	dance	Slobodskoi, M.	recording	Clarinet	Kiev	1936	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	E minor	18–25	no			
238	Kozatshke	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-	Bb major (III)	10–18	no			
239	Kozatshke (yidishe)	Major	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	-	-		All major	yes			
240	Bitshok	Major	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	-	-		All major	yes			
241	Zhok	Freygish	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2	F major (VII)	19–27	no	Section B (mm. 19–34) begins in F major and concludes in G freygish. The shift was marked as such (criterion 2). The shift is for more than just a cadence as specified by criterion 2 but it fits the same pattern, moving back to a primary mode for the end of a section. 		
242	Zhok	Freygish	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	-	-	C minor (iv)	10–19	no	There is a brief implication of D freygish (V) or C raised fourth mode (iv) in mm. 16–17. The section cadences on G, however, which could be interpreted as the dominant of C minor and also leads back into G freygish. The section as a whole is designated as C minor (criterion 1). 		
243	Zhok	Raised fourth	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	A	Up M2	Bb major (III); G freygish	17–28; 29–42	no			
244	Zhok	Raised fourth	dance	Sakhnovsky, B.	transcription	Violin	-	-	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-		All raised fourth	yes			
245	Zhok	Minor	dance	Makonovetsky, A. E. 	transcription (Makonovetsky)	Violin	Khabno	-	-	Kiev	Khabno	D	Up P5		All minor	yes	Section A (mm. 1–16) cadences in Bb major (III). The section as a whole is still designated as G minor through most of the section (criterion 1). This section does not fit other criteria (2, 3, or 4) for designating modulations wthin sections. Compare with no. 214 and 230.		
246	Zhok	Minor	dance	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	Bb major (III)	1–10	no			
247	Olandre (lyondre)	Minor	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	A	Up M2	G raised fourth	9–14	no			
248	Olandre (lyondre)	Minor	dance	Marshak, A.	recording	Voice	Odessa	1930	-	Various Cities and Towns	Odessa	-	-	Bb major (III)	1–8	no			
249	Olandre (lyondre)	Minor	dance	Gulerman, Z.	recording	Flute	Kiev	1935	-	Kiev	Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov	-	-	Bb major (III)	1–8	no			
250	Olandre (lyondre)	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	Bb	Up m3		All minor	yes	Section B emphasizes F major (VII) but cadences in G minor, in the second ending. It is identified as G minor based on the cadence (criteria 1 and 3).		
251	Volekh	Minor	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth	5–8	no			
252	Volekh	Minor	dance	Komendant, M. G.	transcription	-	Kremenets	1885	-	Unknown	-	E or Eb	Down m/M3	G raised fourth; G major	21–45; 46–61	no			
253	Volekh	Major	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth	18–25	no			
254	Volekh	Raised fourth	dance	Barkagan, G.	transcription	Clarinet	Kalinindorf, Nikolaev	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All raised fourth	yes			